✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 63501520 (MAXX BABALOO MORANGO 20G) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MAXX BABALOO MORANGO 20G (ID: 63501520) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 63378584 (VIBRE POWER MINT) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto VIBRE POWER MINT (ID: 63378584) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 63261271 (ORAL GOURMET ICE MORANGO 45G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ORAL GOURMET ICE MORANGO 45G (ID: 63261271) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 62399385 (Calcinha Corrente) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Calcinha Corrente (ID: 62399385) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 62289390 (SEDENTA POR SEXO 50G) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR SEXO 50G (ID: 62289390) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 61659867 (Mini Fantasia) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Mini Fantasia (ID: 61659867) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 61150327 (MBA1425 Cápsula vibratória texturizada recarregável) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MBA1425 Cápsula vibratória texturizada recarregável (ID: 61150327) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 61026791 (MLPP6082 Plug anal vibratório por aplicativo em silicone com rotação 360°) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MLPP6082 Plug anal vibratório por aplicativo em silicone com rotação 360° (ID: 61026791) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 60746422 (Cj tule ilusion e renda com aro e sem bojo, calcinha string) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Cj tule ilusion e renda com aro e sem bojo, calcinha string (ID: 60746422) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 60718952 (KGEL 2 em 1 LUBRIFICANTE INTIMO 200G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KGEL 2 em 1 LUBRIFICANTE INTIMO 200G (ID: 60718952) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 60717221 (SABONETE FEMININO BABALOOB TUTTI FRUTTI) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SABONETE FEMININO BABALOOB TUTTI FRUTTI (ID: 60717221) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 60393421 (Conjunto Victoria - Conjunto rendado, sem bojo, meia taca forrado) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Conjunto Victoria - Conjunto rendado, sem bojo, meia taca forrado (ID: 60393421) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 59606939 (FAISCA NA XAVASCA) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto FAISCA NA XAVASCA (ID: 59606939) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 59606876 (SEDENTA GELADA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA GELADA (ID: 59606876) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 59606852 (SEDENTA POR SENSAÇÃO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR SENSAÇÃO (ID: 59606852) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 59606834 (SEDENTA POR BEIJINHO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR BEIJINHO (ID: 59606834) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 59606794 (SEDENTA POR CONFORTO) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR CONFORTO (ID: 59606794) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 59606754 (SEDENTA MOLHADA NEUTRO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA MOLHADA NEUTRO (ID: 59606754) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 58478918 (CALCINHA LAÇO FIO SEXFIRE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALCINHA LAÇO FIO SEXFIRE (ID: 58478918) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 57911531 (KGEL LUB. INTIMO BISNAGA 80G TRADICIONAL) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KGEL LUB. INTIMO BISNAGA 80G TRADICIONAL (ID: 57911531) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 57911530 (KGEL LUB. INTIMO BISNAGA 80G - MORANGO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KGEL LUB. INTIMO BISNAGA 80G - MORANGO (ID: 57911530) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 57911529 (KGEL LUB. INTIMO BISNAGA 80G MENTA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KGEL LUB. INTIMO BISNAGA 80G MENTA (ID: 57911529) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 56421822 (LBDA01 dadinho de posiçoes sexuais florecente) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LBDA01 dadinho de posiçoes sexuais florecente (ID: 56421822) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 55925837 (MASCARA Vinil tapa olho) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MASCARA Vinil tapa olho (ID: 55925837) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 55787208 (CHIBATA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CHIBATA (ID: 55787208) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 55185091 (SACHE VOLUMAO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SACHE VOLUMAO (ID: 55185091) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 55128655 (DIV2 Baralho Kama Sutra Posições (54 cartas)) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto DIV2 Baralho Kama Sutra Posições (54 cartas) (ID: 55128655) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54733028 (HOT BALL 50 TONS ESCUROS) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL 50 TONS ESCUROS (ID: 54733028) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54616074 (HOT BALL 50 TONS CINZA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL 50 TONS CINZA (ID: 54616074) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54616073 (HOT BALL PLUS ESFRIA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL PLUS ESFRIA (ID: 54616073) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54616072 (KARAMELA CALCINHA MOR CHAMP TAM G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KARAMELA CALCINHA MOR CHAMP TAM G (ID: 54616072) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54616071 (KARAMELA CALCINHA MENTA TAM G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KARAMELA CALCINHA MENTA TAM G (ID: 54616071) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54616070 (KARAMELA CALCINHA CHOCOLATE TAM U) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KARAMELA CALCINHA CHOCOLATE TAM U (ID: 54616070) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54362637 (MNA2011 -B Kit Anel peniano) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MNA2011 -B Kit Anel peniano (ID: 54362637) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 54362016 (MVM1219 Mini massageador varinhamágica com toque aveludado) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MVM1219 Mini massageador varinhamágica com toque aveludado (ID: 54362016) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 52490205 (MLVE4020  Vibrador ponto G com estim ulador clitoriano - Recarreg ável) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MLVE4020  Vibrador ponto G com estim ulador clitoriano - Recarreg ável (ID: 52490205) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 52061408 (MPA1308 PLUG ANAL JOIA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MPA1308 PLUG ANAL JOIA (ID: 52061408) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 50493350 (CALCINHA TAILANDESA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALCINHA TAILANDESA (ID: 50493350) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 48673936 (BODY THEMIS) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BODY THEMIS (ID: 48673936) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 48517633 (Massageador varinha mági ca com aquecimento) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Massageador varinha mági ca com aquecimento (ID: 48517633) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 48516973 (MBA1016-G Cápsula vibratória formato golfinho) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MBA1016-G Cápsula vibratória formato golfinho (ID: 48516973) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 47433753 (Egg Masturbador Masculino) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Egg Masturbador Masculino (ID: 47433753) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 44628626 (Calcinha Frase Strass Sex Fire) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Calcinha Frase Strass Sex Fire (ID: 44628626) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 41337946 (CALDEIRAO DA VIBRACAO) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALDEIRAO DA VIBRACAO (ID: 41337946) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 41186856 (lingerie comestivel morango c champanhe) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto lingerie comestivel morango c champanhe (ID: 41186856) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822993 (GEL UMECT CORP PINTO LOKO 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP PINTO LOKO 15G (ID: 40822993) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822987 (GEL UMECT CORP KULOKO 15G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP KULOKO 15G (ID: 40822987) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822980 (BISNAGA - GEL ACEITA QUE DOI MENOS) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BISNAGA - GEL ACEITA QUE DOI MENOS (ID: 40822980) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822979 (GEL UMECT CORP HORAS BOLAS 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP HORAS BOLAS 15G (ID: 40822979) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822958 (GEL UMECT CORP BERINJELO 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP BERINJELO 15G (ID: 40822958) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822955 (GEL UMECT CORP TREPADEIRA 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP TREPADEIRA 15G (ID: 40822955) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822953 (GEL UMECT CORP COMIGO NINGUEM) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP COMIGO NINGUEM (ID: 40822953) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822947 (GEL UMECT CORP XANA LOKA 15G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL UMECT CORP XANA LOKA 15G (ID: 40822947) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822766 (HOT BALL PLUS ESQUENTA ESFRIA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL PLUS ESQUENTA ESFRIA (ID: 40822766) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822762 (HOT BALL MENTA LUBRIFICANTE INTIMO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL MENTA LUBRIFICANTE INTIMO (ID: 40822762) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822761 (HOT BALL UVA LUBRIFICANTE INTIMO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL UVA LUBRIFICANTE INTIMO (ID: 40822761) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822760 (HOT BALL MORANGO LUBRIFICANTE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL MORANGO LUBRIFICANTE (ID: 40822760) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822755 (CREME CONFORTO 3,5G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CREME CONFORTO 3,5G (ID: 40822755) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822753 (GEL CORPORAL VOLUMAO 25G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL CORPORAL VOLUMAO 25G (ID: 40822753) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822749 (GEL HIDRATANTE CORPORAL LIS IN 30G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL HIDRATANTE CORPORAL LIS IN 30G (ID: 40822749) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822746 (AROMAT BUCAL MAIS PROFUNDA 12ML) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto AROMAT BUCAL MAIS PROFUNDA 12ML (ID: 40822746) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822736 (GEL LUBRIF. INTIMO SETE SENSACOES 25G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL LUBRIF. INTIMO SETE SENSACOES 25G (ID: 40822736) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822384 (ADSTR LIQ SEMPRE VIRGEM HAMAMELIS) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ADSTR LIQ SEMPRE VIRGEM HAMAMELIS (ID: 40822384) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822375 (AROMAT BUCAL POWER BLACK ICE SPRAY) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto AROMAT BUCAL POWER BLACK ICE SPRAY (ID: 40822375) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822364 (LOCAO GEL ADSTR SEMPRE VIRGEM 25G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LOCAO GEL ADSTR SEMPRE VIRGEM 25G (ID: 40822364) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822339 (DEO COLONIA HF FEMME PHER 30ML) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto DEO COLONIA HF FEMME PHER 30ML (ID: 40822339) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822131 (DEO COLONIA HF HOMME PHER 30ML) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto DEO COLONIA HF HOMME PHER 30ML (ID: 40822131) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822130 (CREME DE MASSAGEM ORIENTAL 4G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CREME DE MASSAGEM ORIENTAL 4G (ID: 40822130) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822129 (HOT BALL TERMO SHOCK) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL TERMO SHOCK (ID: 40822129) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822128 (HOT BALL ESFERA CHINESA) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL ESFERA CHINESA (ID: 40822128) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822126 (HOT BALL BJ MUITO POWER BLACK) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL BJ MUITO POWER BLACK (ID: 40822126) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40822125 (HOT BALL ESFERAS DO DRAGAO) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL ESFERAS DO DRAGAO (ID: 40822125) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40740220 (Vibrador Golfinho Single) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Vibrador Golfinho Single (ID: 40740220) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
